Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,50.68,0.11,"",SiO2
Mg,20.15,0.07,"",MgO
Al,0.32,0.02,"",Al2O3
Si,28.23,0.09,"",SiO2
S,0.05,0.02,"",FeS2
Ca,0.57,0.02,"",Wollastonite
Total:,100.0,,100.0,
