Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,57.22,0.14,76.87,SiO2
Mg,0.21,0.02,0.18,MgO
Al,0.15,0.02,0.12,Al2O3
Si,0.25,0.02,0.19,SiO2
S,0.15,0.02,0.10,FeS2
Ca,42.02,0.14,22.53,Wollastonite
Total:,100.0,,100.0,
