Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,5.91,"",9.37,""
O,49.26,"",58.66,""
Mg,17.51,"",13.72,""
Si,26.15,"",17.74,""
Cl,0.04,"",0.02,""
Ca,0.58,"",0.28,""
Ti,0.44,"",0.17,""
Fe,0.11,"",0.04,""
Total:,100.0,,100.0,
