Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,13.56,"",20.17,""
O,48.60,"",54.25,""
Mg,15.46,"",11.36,""
Si,22.38,"",14.23,""
Total:,100.0,,100.0,
