Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,35.10,0.20,"",C Vit
O,40.72,0.22,"",SiO2
Mg,0.08,0.02,"",MgO
Al,0.35,0.02,"",Al2O3
Si,0.36,0.01,"",SiO2
S,0.06,0.01,"",FeS2
Ca,23.32,0.11,"",Wollastonite
Total:,100.0,,100.0,
