Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,34.31,0.26,"",C Vit
O,65.27,0.27,"",SiO2
Na,0.28,0.03,"",Albite
Cl,0.01,0.01,"",NaCl
K,0.00,0.00,"",KBr
Ti,0.02,0.02,"",Ti
Fe,0.11,0.03,"",Fe
Total:,100.0,,100.0,
