Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,67.42,0.11,"",C Vit
O,24.36,0.11,"",SiO2
Mg,0.82,0.01,"",MgO
Al,3.22,0.02,"",Al2O3
Si,0.61,0.01,"",SiO2
S,0.08,0.01,"",FeS2
Ca,3.33,0.02,"",Wollastonite
Fe,0.16,0.01,"",Fe
Total:,100.0,,100.0,
