Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,43.36,0.16,54.75,""
O,37.97,0.13,35.99,""
Na,0.36,0.01,0.24,""
Mg,4.69,0.02,2.93,""
Al,1.64,0.01,0.92,""
Si,5.69,0.03,3.07,""
S,0.07,0.01,0.03,""
K,0.07,0.01,0.03,""
Ca,3.58,0.02,1.35,""
Cr,0.08,0.01,0.02,""
Fe,2.41,0.03,0.66,""
Ni,0.03,0.02,0.01,""
Ba,0.04,0.02,0.00,""
Total:,100.0,,100.0,
