Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,56.39,0.14,,SiO2
Mg,0.29,0.02,,MgO
Al,0.23,0.02,,Al2O3
Si,0.15,0.02,,SiO2
S,0.07,0.02,,FeS2
Ca,42.86,0.14,,Wollastonite
Total:,100.0,,100.0,
