Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,50.48,0.09,62.75,SiO2
Mg,19.99,0.06,16.36,MgO
Al,0.49,0.02,0.36,Al2O3
Si,28.89,0.07,20.46,SiO2
Ca,0.15,0.02,0.07,Wollastonite
Total:,100.0,,100.0,
