Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.91,0.12,70.89,""
Na,0.28,0.03,0.25,""
Mg,7.81,0.05,6.76,""
Al,2.59,0.03,2.02,""
Si,9.02,0.05,6.76,""
S,0.04,0.01,0.03,""
Ca,22.72,0.08,11.93,""
Fe,3.63,0.05,1.37,""
Total:,100.0,,100.0,
