Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.50,0.10,65.52,""
Mg,19.84,0.06,15.99,""
Si,26.17,0.07,18.25,""
S,0.07,0.01,0.04,""
Cl,0.04,0.01,0.02,""
K,0.02,0.01,0.01,""
Ca,0.29,0.01,0.14,""
Fe,0.07,0.01,0.02,""
Total:,100.0,,100.0,
