Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,82.99,0.27,,SiO2
Na,2.56,0.18,,Albite
Cl,0.00,0.06,,NaCl
K,0.36,0.07,,KBr
Ti,0.09,0.08,,Ti
Fe,14.00,0.21,,Fe
Total:,100.0,,100.0,
