Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,52.41,0.11,65.60,SiO2
Na,0.13,0.03,0.11,Albite
Mg,18.65,0.07,15.36,MgO
Al,5.03,0.04,3.73,Al2O3
Si,17.62,0.07,12.56,SiO2
S,0.15,0.02,0.10,FeS2
K,0.08,0.02,0.04,KBr
Ca,2.57,0.03,1.28,Wollastonite
Cr,0.22,0.03,0.08,Cr
Fe,3.14,0.05,1.12,Fe
Total:,100.0,,100.0,
