Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.00,0.17,"",SiO2
Mg,0.27,0.03,"",MgO
Al,0.40,0.02,"",Al2O3
Ca,45.33,0.17,"",Wollastonite
Total:,100.0,,100.0,
