Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,22.27,0.10,34.34,""
O,42.59,0.12,49.32,""
Mg,0.14,0.01,0.11,""
Al,0.12,0.01,0.08,""
Si,0.13,0.01,0.09,""
Ca,34.75,0.08,16.06,""
Total:,100.0,,100.0,
