Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,54.19,0.11,66.18,""
Mg,18.83,0.07,15.14,""
Al,0.42,0.03,0.30,""
Si,25.97,0.08,18.07,""
S,0.24,0.02,0.15,""
Ca,0.35,0.02,0.17,""
Total:,100.0,,100.0,
