Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,3.15,"",5.13,""
O,48.84,"",59.70,""
Na,0.87,"",0.74,""
Mg,17.88,"",14.38,""
Si,27.16,"",18.91,""
Cl,1.75,"",0.97,""
Ca,0.34,"",0.17,""
Total:,100.0,,100.0,
