Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,22.35,"",34.39,""
O,42.81,"",49.46,""
Mg,0.26,"",0.20,""
Ca,34.58,"",15.95,""
Total:,100.0,,100.0,
