Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,9.09,"",14.01,""
O,48.96,"",56.65,""
Mg,16.76,"",12.76,""
Al,0.23,"",0.16,""
Si,24.75,"",16.32,""
Ca,0.21,"",0.10,""
Total:,100.0,,100.0,
