Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,55.47,0.10,70.93,""
Na,0.51,0.03,0.45,""
Mg,8.08,0.04,6.80,""
Al,4.87,0.03,3.69,""
Si,14.21,0.05,10.35,""
S,0.67,0.02,0.43,""
K,0.30,0.02,0.16,""
Ca,10.95,0.04,5.59,""
Ti,0.17,0.02,0.07,""
Cr,0.07,0.02,0.03,""
Mn,0.07,0.02,0.02,""
Fe,3.61,0.04,1.32,""
Ba,1.02,0.06,0.15,""
Total:,100.0,,100.0,
