Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,22.33,0.13,"",C Vit
O,46.46,0.14,"",SiO2
Mg,0.11,0.01,"",MgO
Al,0.43,0.01,"",Al2O3
Si,0.39,0.01,"",SiO2
Ca,30.27,0.09,"",Wollastonite
Total:,100.0,,100.0,
