Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,7.46,"",11.66,""
O,49.11,"",57.62,""
Mg,17.11,"",13.21,""
Si,25.90,"",17.31,""
Ca,0.41,"",0.19,""
Total:,100.0,,100.0,
