Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,12.41,"",21.22,""
O,44.00,"",56.46,""
Na,0.02,"",0.02,""
Cl,0.04,"",0.02,""
K,0.04,"",0.02,""
Ca,43.46,"",22.26,""
Ti,0.00,"",0.00,""
Fe,0.03,"",0.01,""
Total:,100.0,,100.0,
