Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,32.19,0.15,"",C Vit
O,43.05,0.12,"",SiO2
Na,0.16,0.01,"",Albite
Mg,10.13,0.04,"",MgO
Al,0.11,0.01,"",Al2O3
Si,13.95,0.05,"",SiO2
Cl,0.19,0.01,"",NaCl
Ca,0.10,0.01,"",Wollastonite
Ti,0.01,0.01,"",Ti
Fe,0.04,0.01,"",Fe
Mo,0.09,0.02,"",Mo
Total:,100.0,,100.0,
