Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,52.74,0.11,,C Vit
O,35.84,0.10,"",SiO2
Mg,4.17,0.02,"",MgO
Al,0.55,0.01,"",Al2O3
Si,5.09,0.02,"",SiO2
Ca,0.08,0.01,"",Wollastonite
Ti,1.40,0.01,"",Ti
Ag,0.14,0.01,"",Ag
Total:,100.0,,100.0,
