Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,2.69,"",4.39,""
O,48.99,"",59.98,""
Na,0.08,"",0.07,""
Mg,18.86,"",15.20,""
Si,28.81,"",20.09,""
Cl,0.17,"",0.09,""
Ca,0.25,"",0.12,""
Fe,0.13,"",0.04,""
Total:,100.0,,100.0,
