Element,Wt%,Wt% Sigma,Atomic%,Standard Label
C,13.42,"",22.59,""
O,44.37,"",56.06,""
Na,0.04,"",0.03,""
Al,0.23,"",0.17,""
Cl,0.00,"",0.00,""
K,0.05,"",0.02,""
Ca,41.89,"",21.12,""
Ti,0.00,"",0.00,""
Fe,0.01,"",0.00,""
Total:,100.0,,100.0,
