Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.79,0.08,65.82,""
Mg,18.01,0.06,14.50,""
Al,2.75,0.03,2.00,""
Si,25.00,0.06,17.43,""
S,0.26,0.02,0.16,""
Ca,0.20,0.02,0.10,""
Total:,100.0,,100.0,
