Element,Wt%,Wt% Sigma,Atomic%,Standard Label
O,53.97,0.10,67.33,""
Na,0.19,0.03,0.17,""
Mg,18.82,0.06,15.45,""
Al,2.54,0.03,1.88,""
Si,17.19,0.06,12.22,""
K,0.15,0.02,0.08,""
Ca,2.85,0.03,1.42,""
Ti,0.05,0.02,0.02,""
Cr,0.14,0.03,0.06,""
Fe,3.42,0.05,1.22,""
Ni,0.19,0.04,0.06,""
Mo,0.47,0.05,0.10,""
Total:,100.0,,100.0,
